Ticker,Name,Name_ZH,Date_Today,Date_Prev,Volume_Today,Volume_Prev,Pct_Change
6063.HK,LOTUS HORIZON,智中国际,2026-06-17,2026-06-16,952000,440000,+116.36%
1024.HK,KUAISHOU-W,快手－Ｗ,2026-06-17,2026-06-16,76851994,35741225,+115.02%
2488.HK,LAUNCH TECH,元征科技,2026-06-17,2026-06-16,632000,294000,+114.97%
0681.HK,CHI PEOPLE HOLD,中民控股,2026-06-17,2026-06-16,2014000,937616,+114.80%
1917.HK,DOUMOB,豆盟科技,2026-06-17,2026-06-16,450000,210000,+114.29%
0439.HK,GENESIS SCALE,瀚源控股,2026-06-17,2026-06-16,248000,116000,+113.79%
8321.HK,TAI KAM HLDGS,泰锦控股,2026-06-17,2026-06-16,128000,60000,+113.33%
1907.HK,CHINA RISUN GP,中国旭阳集团,2026-06-17,2026-06-16,28416000,13357147,+112.74%
8079.HK,WISDOMCOME GP,仍志集团控股,2026-06-17,2026-06-16,666637,313500,+112.64%
2166.HK,SMART-CORE,芯智控股,2026-06-17,2026-06-16,2138780,1014000,+110.93%
1608.HK,VPOWER GROUP,伟能集团,2026-06-17,2026-06-16,1982000,944000,+109.96%
0923.HK,IWS,综合环保集团,2026-06-17,2026-06-16,2010000,958000,+109.81%
2858.HK,YIXIN,易鑫集团,2026-06-17,2026-06-16,20893536,10074501,+107.39%
0346.HK,YANCHANG PETRO,延长石油国际,2026-06-17,2026-06-16,765000,370000,+106.76%
0048.HK,C AUTO INT DECO,中国汽车内饰,2026-06-17,2026-06-16,152400,74000,+105.95%
1997.HK,WHARF REIC,九龙仓置业,2026-06-17,2026-06-16,3739258,1821179,+105.32%
1582.HK,CR CONSTRUCTION,华营建筑,2026-06-17,2026-06-16,117500,57500,+104.35%
0776.HK,IMPERIUM TEC GP,帝国科技集团,2026-06-17,2026-06-16,4305500,2113500,+103.71%
6826.HK,HAOHAI BIOTEC,昊海生物科技,2026-06-17,2026-06-16,344100,169160,+103.42%
1631.HK,REF HOLDINGS,REF HOLDINGS,2026-06-17,2026-06-16,355000,175000,+102.86%
2322.HK,MODERN INNO DT,新质数字,2026-06-17,2026-06-16,1848000,912000,+102.63%
2382.HK,SUNNY OPTICAL,舜宇光学科技,2026-06-17,2026-06-16,24501688,12105493,+102.40%
0177.HK,JIANGSU EXPRESS,江苏宁沪高速公路,2026-06-17,2026-06-16,8490710,4200150,+102.15%
0565.HK,ART GROUP HOLD,锦艺集团控股,2026-06-17,2026-06-16,11725000,5820000,+101.46%
1855.HK,ZONQING LTD,中庆股份,2026-06-17,2026-06-16,326000,162000,+101.23%
0240.HK,BUILD KING HOLD,利基控股,2026-06-17,2026-06-16,140500,70000,+100.71%
1943.HK,KING'S STONE,金石控股集团,2026-06-17,2026-06-16,8905000,4440000,+100.56%
6138.HK,HARBIN BANK,哈尔滨银行,2026-06-17,2026-06-16,1274000,636000,+100.31%
8532.HK,POLYFAIR HLDGS,宝发控股,2026-06-17,2026-06-16,224000,112000,+100.00%
0094.HK,GREENHEART GP,绿心集团,2026-06-17,2026-06-16,800000,400000,+100.00%
2343.HK,PACIFIC BASIN,太平洋航运,2026-06-17,2026-06-16,11685030,5847970,+99.81%
8547.HK,PACIFIC LEGEND,PACIFIC LEGEND,2026-06-17,2026-06-16,35900000,17970000,+99.78%
6100.HK,TONGDAO LIEPIN,同道猎聘,2026-06-17,2026-06-16,359877,181200,+98.61%
0171.HK,SILVER GRANT,银建国际,2026-06-17,2026-06-16,212000,9516000,-97.77%
1348.HK,QUALI-SMART,滉达富控股,2026-06-17,2026-06-16,170000,5078000,-96.65%
0083.HK,SINO LAND,信和置业,2026-06-17,2026-06-16,7569848,3851824,+96.53%
